CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
13675;PEITORAL NEON ROSA PQ;27,77;44,7;60,97;
13673;PEITORAL NEON VERDE GD;27,77;46;65,65;
13670;PEITORAL NEON VERDE MD;27,77;46;65,65;
13674;PEITORAL NEON VERDE PQ;25,96;43;65,64;
13976;PEITORAL NYLON PITBULL PQ C/GUIA 50CM;46;64,4;40;
10092;PEITORAL NYLON SIMPLES N0;4,78;7,7;61,09;
6988;PEITORAL NYLON SIMPLES N01;4,78;7,7;61,09;
6989;PEITORAL NYLON SIMPLES N02;4,78;7,7;61,09;
6990;PEITORAL NYLON SIMPLES N03;4,78;7,7;61,09;
6991;PEITORAL NYLON SIMPLES N04;4,78;7,7;61,09;
7753;PEITORAL ONCINHA N00;9,92;15,99;0;
6392;PEITORAL ONCINHA N01;9,92;15,99;0;
6393;PEITORAL ONCINHA N02;9,92;15,99;0;
6394;PEITORAL ONCINHA N03;9,92;15,99;0;
6395;PEITORAL ONCINHA N04;9,92;15,99;0;
3674;PEITORAL P/PITT BULL COM CRAVO;26,15;51,2;0;
3651;PEITORAL P/PITT BULL COM CRAVO;40;65;0;
11803;PEITORAL PATAS AJUST.N01 AZUL;12,96;20,99;61,96;
11804;PEITORAL PATAS AJUST.N01 ROSA;12,96;20,99;61,96;
11801;PEITORAL PATAS AJUST.N01 VERM;12,96;20,99;61,96;
11197;PEITORAL PATAS AJUST.N02 AZUL;12,96;20,99;61,96;
11802;PEITORAL PATAS AJUST.N02 ROSA;12,96;20,99;61,96;
11800;PEITORAL PATAS AJUST.N02 VERM;12,96;20,99;61,96;
11198;PEITORAL PATAS AJUST.N03 AZUL;12,96;20,99;61,96;
11199;PEITORAL PATAS AJUST.N03 ROSA;12,96;20,99;61,96;
11799;PEITORAL PATAS AJUST.N03 VERM;12,96;20,99;61,96;
11200;PEITORAL PATAS AJUST.N04 AZUL;12,96;20,99;61,96;
11201;PEITORAL PATAS AJUST.N04 ROSA;12,96;20,99;61,96;
11798;PEITORAL PATAS AJUST.N04 VERM;12,96;20,99;61,96;
1283;PEITORAL PATINHAS N0 AZUL;12,96;20,99;61,96;
1442;PEITORAL PATINHAS N0 LILAZ;12,96;20,99;61,96;
1443;PEITORAL PATINHAS N0 PRETO;12,96;20,99;61,96;
1444;PEITORAL PATINHAS N0 ROSA;12,96;20,99;61,96;
1284;PEITORAL PATINHAS N0 VERMELHO;12,96;20,99;61,96;
47;PEITORAL PATINHAS N1 AZUL;12,96;20,99;61,96;
1445;PEITORAL PATINHAS N1 LILAZ;12,96;20,99;61,96;
1446;PEITORAL PATINHAS N1 PRETO;12,96;20,99;61,96;
1447;PEITORAL PATINHAS N1 ROSA;12,96;20,99;61,96;
1448;PEITORAL PATINHAS N1 VERMELHO;12,96;20,99;61,96;
975;PEITORAL PATINHAS N2 AZUL;12,96;20,99;61,96;
1449;PEITORAL PATINHAS N2 LILAZ;12,96;20,99;61,96;
1450;PEITORAL PATINHAS N2 PRETO;12,96;20,99;61,96;
1451;PEITORAL PATINHAS N2 ROSA;12,96;20,99;61,96;
1452;PEITORAL PATINHAS N2 VERMELHO;12,96;20,99;61,96;
1453;PEITORAL PATINHAS N3 AZUL;12,96;20,99;61,96;
48;PEITORAL PATINHAS N3 LILAZ;12,96;20,99;61,96;
1455;PEITORAL PATINHAS N3 PRETO;12,96;20,99;61,96;
1454;PEITORAL PATINHAS N3 ROSA;12,96;20,99;61,96;
1456;PEITORAL PATINHAS N3 VERMELHO;12,96;20,99;61,96;
49;PEITORAL PATINHAS N4 AZUL;12,96;20,99;61,96;
1457;PEITORAL PATINHAS N4 LILAZ;12,96;20,99;61,96;
1458;PEITORAL PATINHAS N4 PRETO;12,96;20,99;61,96;
1459;PEITORAL PATINHAS N4 ROSA;12,96;20,99;61,96;
1460;PEITORAL PATINHAS N4 VERMELHO;12,96;20,99;61,96;
7980;PEITORAL REGUL.GD.APLI.BORR.FANCY DOG;21,55;37,5;0;
7982;PEITORAL REGUL.MD.APLI.BORR.FANCY DOG;21,55;36,5;0;
7981;PEITORAL REGUL.PP.APLI.BORR.FANCY DOG;21,55;34,5;0;
7983;PEITORAL REGUL.PQ.APLI.BORR.FANCY DOG;21,55;35,5;0;
13668;PEITORAL ULTRA NYLON METAL AZUL GD;27,67;44,5;60,82;
13520;PEITORAL ULTRA NYLON METAL AZUL GG;30,26;48,5;60,28;
13523;PEITORAL ULTRA NYLON METAL AZUL XG;31,66;51;61,09;
13522;PEITORAL ULTRA NYLON METAL ROSA GD;27,67;44,5;60,82;
13583;PEITORAL ULTRA NYLON METAL ROSA GG;30,26;48,5;60,28;
14189;PEITORAL ULTRA NYLON METAL ROSA XG;32,86;52,99;61,26;
13521;PEITORAL ULTRA NYLON METAL ROSA XG;31,66;51;61,09;
13669;PEITORAL ULTRA NYLON METAL VERM. GD;27,67;44,5;60,82;
13666;PEITORAL ULTRA NYLON METAL VERM. GG;30,26;48,5;60,28;
13667;PEITORAL ULTRA NYLON METAL VERM. XG;32,86;52,99;61,26;
9763;PEITORAL XADREZ N01 AMARELO;24,83;39,9;60,69;
9764;PEITORAL XADREZ N02 AMARELO;24,83;39,9;60,69;
9765;PEITORAL XADREZ N03 AMARELO;24,83;39,9;60,69;
1269;PEIXE DE BORRACHA;2,59;4,2;0;
9856;PEIXE ENFEITE GD NATURAL;75;112,5;50;
5424;PEIXE FLUTUANTE;0,77;1,75;0;
8501;PEIXE FLUTUANTE JAD C/8UN;27,37;38,5;0;
7893;PEIXE PLASTICO PF-08 C/8UN;22;35,2;0;
15649;PEIXE Q VIBRA PV 01;20,99;33,99;61,93;
16857;PELE DE FRANGO DESIDRATADA CEVA;8,06;12,99;61,17;
8337;PELEFOOD CAT 28ML;30,05;44;46,42;
7000;PELEFOOD DOG 120GR ORGANACT;30;40,7;0;
10317;PELEFOOD DOG 40GR ORGANACT;36,04;54;49,83;
13962;PELEFOOD DOG STICKS 160GR ORGNACT;26;41,6;60;
11970;PELO E DERME 1500 45GR 30CAPSULA;51,43;78;51,66;
3205;PELO E DERME 1500 90GR 60CAPSULA;78,75;119;51,11;
12024;PELO E DERME 750 22,5GR 30CAPSULA;36,86;52;41,07;
462;PELO E DERME 750 45GRS 60CAPSULA;46,37;74,2;0;
11585;PELO E DERME 750 90GR 60CAPSULA;53,09;78;46,92;
7186;PELO E DERME HIPOALERGENICO 320ML;39,17;63;0;
16170;PELUCIA ALCE;15,11;25,5;68,76;
13282;PELUCIA BALEIA;15,11;24,9;64,79;
16397;PELUCIA BALEIA FELIZ 8,5CM TEX 1283 C/CAT NIP;3,49;6,99;100,29;
15645;PELUCIA BICHOS MP 39;18,99;30,5;60,61;
17122;PELUCIA C/CORDA CACHORRINHO 48CM TEX 1326;23,99;39,99;66,69;
17123;PELUCIA C/CORDA JACARE 48CM TEX 1325;23,99;39,99;66,69;
16184;PELUCIA C/CORDA PORQUINHO ROSA 16CM TEX 1111;16,99;27,99;64,74;
17121;PELUCIA C/CORDA RATAO C/QUEIJO 48CM TEX 1327;23,99;39,99;66,69;
17120;PELUCIA C/CORDA URSINHO 16CM TEX 1108;16,99;27,99;64,74;
16946;PELUCIA CACHORRINHO 18CM TEX 1066;9,99;16,99;70,07;
15646;PELUCIA CACHORRO AMARELA MP 24;11,99;19,99;66,72;
8737;PELUCIA CACHORRO MARROM;15,75;25,2;0;
7754;PELUCIA CACHORRO TOYS;14,98;24;0;
10087;PELUCIA CACHORRO TOYS;14,98;24,3;62,22;
5719;PELUCIA CAO DODOI 2;13,86;22,5;0;
16941;PELUCIA CAO LUXO GIGANTE 52CM TEX 1315;31,38;51,99;65,68;
5566;PELUCIA CAO SAPECA;10,63;18;0;
17119;PELUCIA CARANGUEJO 13CM TEX 1100;7,29;13,99;91,91;
16939;PELUCIA CAVALO MARINHO 56CM TEX 1332;29,99;49,99;66,69;
9045;PELUCIA CENOURA;10,25;16,4;0;
8026;PELUCIA CHINELO;16,66;27;0;
16936;PELUCIA CIRI 13CM TEX 1289;9,99;17,99;80,08;
16171;PELUCIA COELHO ARCO IRIS;8,72;13,99;60,44;
5396;PELUCIA CORDA ARCO IRIS;10,72;17,25;0;
8738;PELUCIA CORUJA CINZA;15,75;25,2;0;
16395;PELUCIA CORUJA COLORIDA 10CM TEX 1282;10,19;19,99;96,17;
16717;PELUCIA CORUJA N02;14,99;24,99;66,71;
6595;PELUCIA DOG POCOTO;12,25;19,6;0;
16394;PELUCIA DORI 14CM TEX 1281;9,99;19,98;100;
16172;PELUCIA ELEFANTINHO XADREZ;8,72;13,99;60,44;
16116;PELUCIA ELEFANTINHO XADREZ;8,72;13,99;60,44;
16721;PELUCIA ESQUILO;14;23,99;71,36;
16173;PELUCIA ESQUILO;9,62;15,5;61,12;
17117;PELUCIA FOCA 19CM REF 4542;11,29;22,99;103,63;
17118;PELUCIA FOCA 19CM TEX 1068;11,29;22,99;103,63;
13665;PELUCIA GANSO;20,86;34,6;65,87;
6522;PELUCIA GARIBALDO REF.TY-088;20,9;33;0;
6523;PELUCIA GATO SONORO REF.TY-016;23,5;37,6;0;
6596;PELUCIA GIRAFA NOVA PET;6,8;11;0;
7755;PELUCIA GIRAFA TOYS;14,98;24;0;
9766;PELUCIA GIRAFA TOYS;14,98;24;60,21;
2849;PELUCIA GIRAFINHA NOVA PET;7,11;11,3;0;
16935;PELUCIA GOLFINHO 19CM TEX 1288;8,89;17,99;102,36;
5568;PELUCIA HAPPY FANT;12,78;21;0;
16396;PELUCIA HAPPY MOUSE 10,5CM TEX 1277 C/CAT NIP;3,49;6,99;100,29;
2848;PELUCIA HIPOPOTAMO NOVA PET;7,11;11,3;0;
9403;PELUCIA HOME LAGOSTA;14,83;23,75;0;
9404;PELUCIA HOME MACACO XADREZ;14,83;23,75;0;
9405;PELUCIA HOME POLVO COLORIDO;14,83;23,75;0;
9406;PELUCIA HOME TARTARUGA;14,83;23,75;0;
6520;PELUCIA JACARE REF.TY-038;26,9;39;0;
17400;PELUCIA JUNGLE BUDDIES OVELHA BRANCA COD 10170;16,79;26,99;60,75;
17401;PELUCIA JUNGLE BUDDIES OVELHA MARRON COD 10171;16,79;26,99;60,75;
17402;PELUCIA JUNGLE BUDDIES TIGRE COD 10173;16,79;26,99;60,75;
17403;PELUCIA JUNGLE BUDDIES ZEBRA COD 10174;16,79;26,99;60,75;
17392;PELUCIA LAGOSTINHA 12CM TEX1088;7,69;14,99;94,93;
2852;PELUCIA LEAOZINHO NOVA PET;7,11;11,3;0;
16940;PELUCIA LUXO GIGANTE GATO FELIZ 52CM TEX 1314;31,38;51,99;65,68;
7073;PELUCIA MACA;8,33;13,5;0;
16867;PELUCIA MACACO;18,62;29,99;61,06;
14901;PELUCIA MACACO 42 CM COD TEX 1134A;15,99;25,99;62,54;
16161;PELUCIA MACACO AMIGAO COD 10088;18,42;24,99;35,67;
16718;PELUCIA MACACO COM BOLINHAS N03;14;23,99;71,36;
16189;PELUCIA MACACO GIRAFA PAPAGAIO 23CM TEX1095;12,49;19,99;60,05;
6524;PELUCIA MACACO REF.TY-043;20,9;33;0;
8027;PELUCIA MACAQUINHO TOYS;14,98;24;0;
10088;PELUCIA MACAQUINHO TOYS;14,98;24,3;62,22;
10788;PELUCIA MEU PET CACHORRINHO;14,98;24;60,21;
15518;PELUCIA MEU PET CACHORRINHO;19,26;31,1;61,47;
